date,medicine_name,category,daily_sales
2022-01-01,Paracetamol,pain,53
2022-01-02,Paracetamol,pain,53
2022-01-03,Paracetamol,pain,38
2022-01-04,Paracetamol,pain,38
2022-01-05,Paracetamol,pain,24
2022-01-06,Paracetamol,pain,35
2022-01-07,Paracetamol,pain,29
2022-01-08,Paracetamol,pain,37
2022-01-09,Paracetamol,pain,51
2022-01-10,Paracetamol,pain,29
2022-01-11,Paracetamol,pain,34
2022-01-12,Paracetamol,pain,39
2022-01-13,Paracetamol,pain,37
2022-01-14,Paracetamol,pain,31
2022-01-15,Paracetamol,pain,46
2022-01-16,Paracetamol,pain,50
2022-01-17,Paracetamol,pain,32
2022-01-18,Paracetamol,pain,23
2022-01-19,Paracetamol,pain,40
2022-01-20,Paracetamol,pain,25
2022-01-21,Paracetamol,pain,27
2022-01-22,Paracetamol,pain,36
2022-01-23,Paracetamol,pain,47
2022-01-24,Paracetamol,pain,28
2022-01-25,Paracetamol,pain,31
2022-01-26,Paracetamol,pain,30
2022-01-27,Paracetamol,pain,41
2022-01-28,Paracetamol,pain,23
2022-01-29,Paracetamol,pain,32
2022-01-30,Paracetamol,pain,40
2022-01-31,Paracetamol,pain,42
2022-02-01,Paracetamol,pain,30
2022-02-02,Paracetamol,pain,31
2022-02-03,Paracetamol,pain,29
2022-02-04,Paracetamol,pain,30
2022-02-05,Paracetamol,pain,39
2022-02-06,Paracetamol,pain,33
2022-02-07,Paracetamol,pain,30
2022-02-08,Paracetamol,pain,19
2022-02-09,Paracetamol,pain,22
2022-02-10,Paracetamol,pain,22
2022-02-11,Paracetamol,pain,22
2022-02-12,Paracetamol,pain,29
2022-02-13,Paracetamol,pain,25
2022-02-14,Paracetamol,pain,18
2022-02-15,Paracetamol,pain,20
2022-02-16,Paracetamol,pain,27
2022-02-17,Paracetamol,pain,19
2022-02-18,Paracetamol,pain,25
2022-02-19,Paracetamol,pain,27
2022-02-20,Paracetamol,pain,34
2022-02-21,Paracetamol,pain,25
2022-02-22,Paracetamol,pain,24
2022-02-23,Paracetamol,pain,32
2022-02-24,Paracetamol,pain,28
2022-02-25,Paracetamol,pain,32
2022-02-26,Paracetamol,pain,27
2022-02-27,Paracetamol,pain,42
2022-02-28,Paracetamol,pain,20
2022-03-01,Paracetamol,pain,21
2022-03-02,Paracetamol,pain,31
2022-03-03,Paracetamol,pain,28
2022-03-04,Paracetamol,pain,21
2022-03-05,Paracetamol,pain,26
2022-03-06,Paracetamol,pain,31
2022-03-07,Paracetamol,pain,24
2022-03-08,Paracetamol,pain,17
2022-03-09,Paracetamol,pain,22
2022-03-10,Paracetamol,pain,20
2022-03-11,Paracetamol,pain,26
2022-03-12,Paracetamol,pain,33
2022-03-13,Paracetamol,pain,38
2022-03-14,Paracetamol,pain,20
2022-03-15,Paracetamol,pain,19
2022-03-16,Paracetamol,pain,19
2022-03-17,Paracetamol,pain,27
2022-03-18,Paracetamol,pain,29
2022-03-19,Paracetamol,pain,31
2022-03-20,Paracetamol,pain,23
2022-03-21,Paracetamol,pain,20
2022-03-22,Paracetamol,pain,24
2022-03-23,Paracetamol,pain,19
2022-03-24,Paracetamol,pain,29
2022-03-25,Paracetamol,pain,27
2022-03-26,Paracetamol,pain,24
2022-03-27,Paracetamol,pain,25
2022-03-28,Paracetamol,pain,31
2022-03-29,Paracetamol,pain,29
2022-03-30,Paracetamol,pain,23
2022-03-31,Paracetamol,pain,25
2022-04-01,Paracetamol,pain,18
2022-04-02,Paracetamol,pain,39
2022-04-03,Paracetamol,pain,31
2022-04-04,Paracetamol,pain,21
2022-04-05,Paracetamol,pain,28
2022-04-06,Paracetamol,pain,17
2022-04-07,Paracetamol,pain,31
2022-04-08,Paracetamol,pain,21
2022-04-09,Paracetamol,pain,29
2022-04-10,Paracetamol,pain,38
2022-04-11,Paracetamol,pain,17
2022-04-12,Paracetamol,pain,29
2022-04-13,Paracetamol,pain,25
2022-04-14,Paracetamol,pain,19
2022-04-15,Paracetamol,pain,22
2022-04-16,Paracetamol,pain,29
2022-04-17,Paracetamol,pain,39
2022-04-18,Paracetamol,pain,21
2022-04-19,Paracetamol,pain,31
2022-04-20,Paracetamol,pain,22
2022-04-21,Paracetamol,pain,29
2022-04-22,Paracetamol,pain,28
2022-04-23,Paracetamol,pain,23
2022-04-24,Paracetamol,pain,34
2022-04-25,Paracetamol,pain,17
2022-04-26,Paracetamol,pain,26
2022-04-27,Paracetamol,pain,24
2022-04-28,Paracetamol,pain,19
2022-04-29,Paracetamol,pain,31
2022-04-30,Paracetamol,pain,30
2022-05-01,Paracetamol,pain,25
2022-05-02,Paracetamol,pain,22
2022-05-03,Paracetamol,pain,27
2022-05-04,Paracetamol,pain,23
2022-05-05,Paracetamol,pain,25
2022-05-06,Paracetamol,pain,26
2022-05-07,Paracetamol,pain,39
2022-05-08,Paracetamol,pain,35
2022-05-09,Paracetamol,pain,23
2022-05-10,Paracetamol,pain,25
2022-05-11,Paracetamol,pain,28
2022-05-12,Paracetamol,pain,20
2022-05-13,Paracetamol,pain,21
2022-05-14,Paracetamol,pain,28
2022-05-15,Paracetamol,pain,28
2022-05-16,Paracetamol,pain,21
2022-05-17,Paracetamol,pain,18
2022-05-18,Paracetamol,pain,26
2022-05-19,Paracetamol,pain,27
2022-05-20,Paracetamol,pain,31
2022-05-21,Paracetamol,pain,28
2022-05-22,Paracetamol,pain,37
2022-05-23,Paracetamol,pain,26
2022-05-24,Paracetamol,pain,21
2022-05-25,Paracetamol,pain,24
2022-05-26,Paracetamol,pain,21
2022-05-27,Paracetamol,pain,28
